Name,latitude,longitude,Address,IndustryType
aneja associates,18.9986552,72.8260748,"301, Peninsula Towers, Ganapatrao Kadam Marg, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013, India",accounting
sudit k. parekh & co.,18.9978494,72.8288859,"2002, Urmi Estate, 20th Floor, 95, Ganpatrao Kadam Marg, Nagin Nagar Chawl, Dhuru Wadi, Lower Parel, Mumbai, Maharashtra 400013, India",accounting
khimji kunverji & co.,19.0112551,72.8374026,"Level-19, Sunshine Tower,, Senapati Bapat Marg,, Elphinstone Road,, Babasaheb Ambedkar Nagar, Mumbai, Maharashtra 400013, India",accounting
n.a.shah associates,19.0060778,72.8240359,"B 41-45 (4th floor) and 21, 25 (2nd floor, Paragon Centre, Pandurang Budhkar Marg, Lower Parel, Mumbai, Maharashtra 400013, India",accounting
g.m.kapadia & co,18.9310031,72.8330813,"Tamarind House, 36B Tamarind Lane, Fort, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",accounting
vitae international accounting services pvt.ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",accounting
radisson consulting llp,19.2185985,72.8641349,"A-005, Kanakia Western Edge II, Western Edge II, Off, Western Express Hwy, Food Corporation of India Warehouse, Borivali East, Mumbai, Maharashtra 400066, India",accounting
mgb advisors private limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",accounting
rakchamps | chartered accountants,19.21114,72.8298209,"GF-9, H-Wing, Building No. 2, Rock Enclave, Next to SBI, Hindustan Naka, Kandivali west, Kandivali, Sahyadri Nagar, Kandivali West, Mumbai, Maharashtra 400067, India",accounting
desai saksena & associates,18.934291,72.834207,"First Floor, Laxmi Building, Sir Phirozshah Mehta Rd, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",accounting
"p c ghadiali and co llp, chartered accountants",18.9730605,72.8136934,"Arun Chamber, XRF7+6FG, Tardeo Main Road, Janata Nagar, Tardeo, Mumbai, Maharashtra 400034, India",accounting
taxpert professionals,19.0799167,72.8957967,"725-726, 7th Floor, D- Wing, Neelkanth Business Park, near Bus Depot, Sadguru Nagar, Neelkanth Kingdom, Vidyavihar West, Vidyavihar, Mumbai, Maharashtra 400086, India",accounting
themis consult,19.0151109,72.8512053,"42A, G D Ambekar Rd, Central Railway Colony, Kohinoor Mill, Wadala, Mumbai, Maharashtra 400031, India",accounting
somaiya & co.,19.073679,72.8991746,"Vidyanagar, Vidya Vihar East, Vidyavihar, Mumbai, Maharashtra 400077, India",accounting
janaswamy associates,19.044434,72.864887,"B-603 , Sion, Maryland Corner, 39, T.V. Chidambaram marg, Air Force Quarters, Sion East, Sion, Mumbai, Maharashtra 400022, India",accounting
agarwal sanganeria & co. (chartered accountants),18.9276724,72.8330985,"219, Old Bake House, Maharashtra Chamber, Of Commerce Lane, Lion Gate, Fort, Mumbai, Maharashtra 400023, India",accounting
ratna international,18.9351674,72.8340839,"35 ate a Terrace 1st Floor, Crossing Road, Borabazar Precinct, Azad Maidan, Fort, Mumbai, Maharashtra 400001, India",accounting
apurva group,19.1111771,72.9088501,"7/F, B Wing, Supreme Business Park, South Avenue Street, Hiranandani Gardens, Powai, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",accounting
mahavir industries,18.9933579,72.827167,"Mahavir Industries Building, Sun Mill Compound, next to Parvati Industrial Estate, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013, India",accounting
chempro expertise private limited,19.1032148,72.8879978,"203, Trade Corner Near Sakinaka, Metro, Bandi Bazaar, Nair Wadi, Andheri East, Mumbai, Maharashtra 400072, India",accounting
sharp engineering,19.111449,72.850487,"2, Ramprasad Yadav Compound, Lane Number 1, near Jain Dairy, Koldongri, Andheri East, Mumbai, Maharashtra 400069, India",accounting
cerebrus consulting,19.0926361,72.9128309,"222, Lal Bahadur Shastri Rd, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",accounting
jet airways,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
air india sats,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
riya travel and tours india pvt ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
goair,19.0931403,72.8567534,"Chhatrapati Shivaji Maharaj International Airport, T1, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India",airlines/aviation
cambata aviation pvt ltd,19.095225,72.8324386,"No 3A, Hangar, Juhu Aerodrome, Vile Parle West, Airport Area, Juhu, Mumbai, Maharashtra 400054, India",airlines/aviation
sheorey digital systems ltd. (sds),18.9440634,72.8240965,"Tarabai Hall, 1st floor, 97, Marine Drive Shiv Prasad, Marine Lines, Churchgate, Mumbai, Maharashtra 400002, India",airlines/aviation
celebi nas airport services india pvt. ltd.,19.1076102,72.8798779,"WING-B, Sir Mathuradas Vasanji Rd, Chimatpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India",airlines/aviation
mumbai international airport pvt. ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
gvk mial,19.0925301,72.8562749,"Chhatrapati Shivaji International Airport Area, 3VV4+2G6, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India",airlines/aviation
indamer aviation pvt. ltd.,19.0953418,72.837144,"3RWP+4VJ, Airport Area, Juhu, Mumbai, Maharashtra 400049, India",airlines/aviation
millennium aero dynamics private limited,18.9643445,72.8056855,"36A/37 , White Hall , 143, August Kranti Marg Kemps Corner, Kemps Corner, Malabar Hill, Mumbai, Maharashtra 400006, India",airlines/aviation
comfort travel group,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
rodeo drive,19.1097338,72.8759478,"Peninsula redpine, HOTEL, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059, India",airlines/aviation
kris aero services pvt ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",airlines/aviation
invision air services pvt. ltd.,18.9242079,72.8226065,"602, 5, Jamnalal Bajaj Marg, Nariman Point, Mumbai, Maharashtra 400021, India",airlines/aviation
cav aero services llp,19.1118641,72.8790282,"402, Wellington Business Park 2, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",airlines/aviation
allied aviation pvt. ltd,19.1117312,72.8652334,"167, Guru Hargovindji Rd, Shaheed Bhagat Singh Society, S B Singh Colony, Chakala, Andheri East, Mumbai, Maharashtra 400093, India",airlines/aviation
sydler group of companies,19.0946925,72.8487929,"Mittal Tower, C Wing, 115, 11th Floor, Nariman Point, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400021, India",alternative medicine
maximaa systems ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",alternative medicine
millennium herbal care limited,18.9273226,72.8220116,"12 B Nirmal, 241, 242, Backbay Reclamation, Nariman Point, Mumbai, Maharashtra 400021, India",alternative medicine
total herb solutions private limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",alternative medicine
maac,19.0759837,72.8776559,"Mumbai, Maharashtra, India",animation
maya digital studios (p) ltd.,19.168619,72.853304,"6th Floor, Chintamani Classique, Off, Aarey Rd, next to Vishveshwar Nagar, Churi Wadi, Goregaon, Mumbai, Maharashtra 400063, India",animation
88 pictures,19.1226261,72.8706223,"Plot No.C-8, opp. Rolta Technology Park, near Seepz, M.I.D.C, Subhash Nagar, Andheri East, Mumbai, Maharashtra 400093, India",animation
assemblage entertainment,19.1177736,72.8887567,"4th Floor, ICC Chambers, 2, Saki Vihar Rd, Muranjan Wadi, Marol, Powai, Mumbai, Maharashtra 400072, India",animation
digitales studios,19.0759837,72.8776559,"Mumbai, Maharashtra, India",animation
graphiti multimedia pvt ltd,19.18977,72.8401471,"5th Floor, Neo Corporate Plaza, Malad, Navy Colony, Kanchpada, Malad West, Mumbai, Maharashtra 400064, India",animation
golden robot animation pvt. ltd.,19.174342,72.8446203,"306, DLH Park, Dlh Park, Swami Vivekananda Rd, Malad, Sunder Nagar, Goregaon West, Mumbai, Maharashtra 400064, India",animation
zee institute of creative arts -zica,19.1367958,72.8347004,"Satyadev Plaza, 102 First Floor, Veera Desai Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053, India",animation
circle creation,19.1377913,72.832835,"1004,10th Floor Morya Bluemoon, New Link Rd, near tanishq showroom, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053, India",animation
maac junior toon club,19.0638441,72.8370263,"Gharaonda, Gr. floor Plot # 558, 32nd Road, National College Lane, Bandra West, Mumbai, Maharashtra 400050, India",animation
bombay rayon fashions limited,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
future lifestyle fashions limited,18.9307062,72.8340314,"37, Mumbai Samachar Marg, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",apparel & fashion
etisalat db telecom pvt. ltd.,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
texport syndicate india ltd,19.1086887,72.8789185,"CTS-796-A, Fleet House, Sir Mathuradas Vasanji Rd, opp. Marol Fire Station Building, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",apparel & fashion
texport industries pvt. ltd.,19.1148273,72.8500291,"506, Hubtown Solaris, Professor NS Phadke Rd, Vijay Nagar, Andheri East, Mumbai, Maharashtra 400069, India",apparel & fashion
spykar lifestyles pvt ltd,19.1700995,72.8570404,"Near Virwani Industrial Estate ,, 1st /2nd Floor, 271, Business Park Ind. Bldg,Goregoan East, Vishveshwar Nagar, Goregaon West, Mumbai, Maharashtra 400063, India",apparel & fashion
zodiac clothing company ltd,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
bewakoof.com,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
tresor,19.2104075,72.8752039,"1, Evershine Rd, Evershine Phase 3, Evershine Millennium Paradise, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India",apparel & fashion
flyrobe,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
catwalk worldwide pvt. ltd.,19.1788627,72.836637,"No 13/L, New Link Rd, Malad, Reserve Bank of India Staff Quarters, Mindspace, Malad West, Mumbai, Maharashtra 400064, India",apparel & fashion
mirraw.com,19.0759837,72.8776559,"Mumbai, Maharashtra, India",apparel & fashion
the souled store pvt. ltd.,18.9882605,72.8275692,"224, Tantia Jogani Industrial Premises Opp Lodha Excelus, Jivraj Ramji Boricha Marg, Lower Parel East, Shastri Nagar, Adarsh Nagar, Worli, Mumbai, Maharashtra 400011, India",apparel & fashion
melange,18.9644923,72.8085634,"33, Altamount Rd, Kemps Corner, Tardeo, Mumbai, Maharashtra 400026, India",apparel & fashion
